Rank,Marks
3.0,126.8
5.0,125.7
6.0,124.6
8.0,123.5
10.0,123.5
18.0,121.3
19.0,121.3
22.0,120.2
25.0,120.2
31.0,119.1
37.0,118.1
41.0,118.0
49.0,116.9
54.0,115.8
67.5,114.7
73.0,113.7
75.0,113.7
83.0,113.6
92.0,112.7
97.0,112.5
101.0,112.5
115.0,111.4
133.0,110.3
142.0,109.4
145.0,109.2
152.0,109.2
170.0,108.1
188.5,107.0
214.0,105.9
221.0,105.3
229.0,104.8
236.0,103.9
238.0,103.8
249.5,103.7
276.5,102.6
293.0,101.8
311.0,101.5
340.5,100.4
353.0,100.1
372.0,99.2
384.0,98.2
428.0,97.1
431.0,96.8
454.5,96.0
467.0,95.8
483.0,94.9
495.0,94.3
497.0,94.3
501.0,94.0
529.0,93.8
569.0,92.7
606.5,91.6
637.0,90.6
657.0,90.5
664.0,90.5
679.0,89.5
717.0,89.1
720.0,88.8
763.0,88.3
770.0,87.5
809.0,87.2
832.0,86.1
842.0,86.4
845.0,86.1
879.0,85.1
890.0,85.1
895.0,85.0
903.0,85.0
997.0,83.9
997.0,82.8
1060.0,81.7
1092.0,81.7
1117.0,80.6
1197.0,79.5
1253.0,78.4
1277.0,78.4
1299.0,78.1
1436.0,76.2
1469.0,75.3
1533.0,74.3
1646.0,72.9
1671.0,72.9
1691.0,72.2
1859.0,70.7
1891.0,69.9
2010.0,68.6
3019.0,59.7
3082.0,58.8
3404.0,56.4
3638.0,55.2
4114.0,52.0
5096.0,45.4
